estacion,fecha,hora_unix,fecha_hora,temp_c,humedad_pct,viento_kmh,viento_rafaga_kmh,direcc_grados,presion_relativa_hpa,presion_absoluta_hpa,lluvia_diaria_mm,solar_wm2
INTA_POCITO,2026-05-16,1778900400,2026-05-16 00:00:00,10.4,71,0.0,1.8,158,1019.5,938.9,0.0,0.0
INTA_POCITO,2026-05-16,1778902200,2026-05-16 00:30:00,9.9,73,0.0,1.8,149,1019.6,939.0,0.0,0.0
INTA_POCITO,2026-05-16,1778904000,2026-05-16 01:00:00,9.9,74,0.0,0.0,143,1019.6,939.0,0.0,0.0
INTA_POCITO,2026-05-16,1778905800,2026-05-16 01:30:00,11.2,72,1.0,11.2,173,1019.5,938.9,0.0,0.0
INTA_POCITO,2026-05-16,1778907600,2026-05-16 02:00:00,13.2,67,1.0,9.4,164,1019.7,939.1,0.0,0.0
INTA_POCITO,2026-05-16,1778909400,2026-05-16 02:30:00,12.2,70,1.5,11.2,161,1019.9,939.3,0.0,0.0
INTA_POCITO,2026-05-16,1778911200,2026-05-16 03:00:00,13.3,70,3.0,14.8,165,1020.1,939.4,0.0,0.0
INTA_POCITO,2026-05-16,1778913000,2026-05-16 03:30:00,13.8,68,4.2,22.0,172,1019.9,939.3,0.0,0.0
INTA_POCITO,2026-05-16,1778914800,2026-05-16 04:00:00,14.0,66,5.0,16.6,164,1020.0,939.4,0.0,0.0
INTA_POCITO,2026-05-16,1778916600,2026-05-16 04:30:00,13.8,68,2.7,13.0,165,1020.2,939.6,0.0,0.0
INTA_POCITO,2026-05-16,1778918400,2026-05-16 05:00:00,13.7,68,2.7,13.0,165,1020.4,939.8,0.0,0.0
INTA_POCITO,2026-05-16,1778920200,2026-05-16 05:30:00,13.7,67,3.0,13.0,160,1020.5,939.9,0.0,0.0
INTA_POCITO,2026-05-16,1778922000,2026-05-16 06:00:00,13.7,67,1.1,7.2,156,1020.7,940.1,0.0,0.0
INTA_POCITO,2026-05-16,1778923800,2026-05-16 06:30:00,13.4,68,0.3,5.4,172,1021.2,940.6,0.0,0.0
INTA_POCITO,2026-05-16,1778925600,2026-05-16 07:00:00,13.4,68,1.1,11.2,165,1021.7,941.1,0.0,0.0
INTA_POCITO,2026-05-16,1778927400,2026-05-16 07:30:00,13.5,66,4.0,16.6,169,1022.4,941.8,0.0,0.0
INTA_POCITO,2026-05-16,1778929200,2026-05-16 08:00:00,12.7,71,10.2,34.9,170,1023.5,942.9,0.0,0.8
INTA_POCITO,2026-05-16,1778931000,2026-05-16 08:30:00,10.2,77,7.9,23.8,201,1024.7,944.1,0.0,6.6
INTA_POCITO,2026-05-16,1778932800,2026-05-16 09:00:00,9.9,75,6.8,23.8,188,1025.5,944.9,0.0,21.2
INTA_POCITO,2026-05-16,1778934600,2026-05-16 09:30:00,10.6,70,6.4,27.7,189,1026.1,945.5,0.0,22.7
INTA_POCITO,2026-05-16,1778936400,2026-05-16 10:00:00,10.4,71,7.0,23.8,178,1026.7,946.1,0.0,23.8
INTA_POCITO,2026-05-16,1778938200,2026-05-16 10:30:00,10.2,72,8.2,25.6,187,1027.2,946.6,0.0,33.6
INTA_POCITO,2026-05-16,1778940000,2026-05-16 11:00:00,9.9,72,6.2,25.6,185,1027.7,947.2,0.0,41.9
INTA_POCITO,2026-05-16,1778941800,2026-05-16 11:30:00,9.3,76,7.4,25.6,188,1028.2,947.6,0.0,50.6
INTA_POCITO,2026-05-16,1778943600,2026-05-16 12:00:00,8.4,83,8.1,25.6,166,1028.6,947.9,0.0,65.7
